"gameId","platformId","gameCreation","gameDuration","queueId","mapId","seasonId","gameVersion","gameMode","gameType","teams__teamId","teams__win","teams__firstBlood","teams__firstTower","teams__firstInhibitor","teams__firstBaron","teams__firstDragon","teams__firstRiftHerald","teams__towerKills","teams__inhibitorKills","teams__baronKills","teams__dragonKills","teams__vilemawKills","teams__riftHeraldKills","teams__dominionVictoryScore","teams__bans__championId","teams__bans__pickTurn","participants__participantId","participants__teamId","participants__championId","participants__spell1Id","participants__spell2Id","participants__highestAchievedSeasonTier","participants__stats__participantId","participants__stats__win","participants__stats__item0","participants__stats__item1","participants__stats__item2","participants__stats__item3","participants__stats__item4","participants__stats__item5","participants__stats__item6","participants__stats__kills","participants__stats__deaths","participants__stats__assists","participants__stats__largestKillingSpree","participants__stats__largestMultiKill","participants__stats__killingSprees","participants__stats__longestTimeSpentLiving","participants__stats__doubleKills","participants__stats__tripleKills","participants__stats__quadraKills","participants__stats__pentaKills","participants__stats__unrealKills","participants__stats__totalDamageDealt","participants__stats__magicDamageDealt","participants__stats__physicalDamageDealt","participants__stats__trueDamageDealt","participants__stats__largestCriticalStrike","participants__stats__totalDamageDealtToChampions","participants__stats__magicDamageDealtToChampions","participants__stats__physicalDamageDealtToChampions","participants__stats__trueDamageDealtToChampions","participants__stats__totalHeal","participants__stats__totalUnitsHealed","participants__stats__damageSelfMitigated","participants__stats__damageDealtToObjectives","participants__stats__damageDealtToTurrets","participants__stats__visionScore","participants__stats__timeCCingOthers","participants__stats__totalDamageTaken","participants__stats__magicalDamageTaken","participants__stats__physicalDamageTaken","participants__stats__trueDamageTaken","participants__stats__goldEarned","participants__stats__goldSpent","participants__stats__turretKills","participants__stats__inhibitorKills","participants__stats__totalMinionsKilled","participants__stats__neutralMinionsKilled","participants__stats__neutralMinionsKilledTeamJungle","participants__stats__neutralMinionsKilledEnemyJungle","participants__stats__totalTimeCrowdControlDealt","participants__stats__champLevel","participants__stats__visionWardsBoughtInGame","participants__stats__sightWardsBoughtInGame","participants__stats__wardsPlaced","participants__stats__wardsKilled","participants__stats__firstBloodKill","participants__stats__firstBloodAssist","participants__stats__firstTowerKill","participants__stats__firstTowerAssist","participants__stats__combatPlayerScore","participants__stats__objectivePlayerScore","participants__stats__totalPlayerScore","participants__stats__totalScoreRank","participants__stats__playerScore0","participants__stats__playerScore1","participants__stats__playerScore2","participants__stats__playerScore3","participants__stats__playerScore4","participants__stats__playerScore5","participants__stats__playerScore6","participants__stats__playerScore7","participants__stats__playerScore8","participants__stats__playerScore9","participants__stats__perk0","participants__stats__perk0Var1","participants__stats__perk0Var2","participants__stats__perk0Var3","participants__stats__perk1","participants__stats__perk1Var1","participants__stats__perk1Var2","participants__stats__perk1Var3","participants__stats__perk2","participants__stats__perk2Var1","participants__stats__perk2Var2","participants__stats__perk2Var3","participants__stats__perk3","participants__stats__perk3Var1","participants__stats__perk3Var2","participants__stats__perk3Var3","participants__stats__perk4","participants__stats__perk4Var1","participants__stats__perk4Var2","participants__stats__perk4Var3","participants__stats__perk5","participants__stats__perk5Var1","participants__stats__perk5Var2","participants__stats__perk5Var3","participants__stats__perkPrimaryStyle","participants__stats__perkSubStyle","participants__stats__statPerk0","participants__stats__statPerk1","participants__stats__statPerk2","participants__timeline__participantId","participants__timeline__|","participants__timeline__|__0-10","participants__timeline__role","participants__timeline__lane","participants__champion","participants__playerName"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","csDiffPerMinDeltas","0.26","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","xpDiffPerMinDeltas","40.15999999999998","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","damageTakenPerMinDeltas","686.8","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","damageTakenDiffPerMinDeltas","-39.98000000000003","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","3","100","103","4","14","GOLD","3","True","1056","3030","0","2055","0","3020","3340","4","0","3","4","1","1","0","0","0","0","0","0","58889","28141","12553","18194","0","10093","5821","1576","2695","2763","1","3224","4910","3186","12","24","8097","4628","3138","330","6675","4825","0","0","99","0","0","0","97","12","3","0","7","0","False","False","False","False","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8351","20","0","0","8304","10","3","0","8345","4","0","0","8352","206","996","69","8224","0","0","0","8237","332","0","0","8300","8200","5008","5003","5003","3","creepsPerMinDeltas","4.9","DUO_SUPPORT","NONE","Ahri","Candle King"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","xpPerMinDeltas","478.5","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","goldPerMinDeltas","252","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","csDiffPerMinDeltas","0.26","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","xpDiffPerMinDeltas","40.15999999999998","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","damageTakenPerMinDeltas","341.9","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","damageTakenDiffPerMinDeltas","-39.98000000000003","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","4","100","15","7","4","SILVER","4","True","1055","3508","3006","3086","0","2015","3340","9","2","3","6","2","2","459","3","0","0","0","0","80041","2098","76728","1214","394","13688","271","13328","88","1700","2","3641","9247","2751","16","2","8934","2853","5795","286","8862","6375","1","0","106","12","4","4","50","10","1","0","6","3","False","False","True","False","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8008","1","40","0","9111","724","240","0","9103","0","0","0","8014","276","0","0","8304","9","4","5","8345","4","0","0","8000","8300","5005","5008","5002","4","creepsPerMinDeltas","5.5","DUO_SUPPORT","NONE","Sivir","TheEpicFail"
